Year,State,StudentLoan_PerCapita_USD,RPP_AllItems,Balance_Billions,Borrowers_Thousands
2008,Alabama,2160.0,88.901,,
2009,Alabama,2470.0,87.786,,
2010,Alabama,2790.0,89.783,,
2011,Alabama,2990.0,90.011,,
2012,Alabama,3370.0,90.559,,
2013,Alabama,3620.0,90.324,,
2014,Alabama,3980.0,90.175,,
2015,Alabama,4180.0,89.741,,
2016,Alabama,4390.0,90.609,,
2017,Alabama,4610.0,90.065,,
2018,Alabama,4920.0,87.378,,
2019,Alabama,5120.0,88.303,,
2020,Alabama,5280.0,87.569,,
2021,Alabama,5450.0,88.062,,
2022,Alabama,5480.0,88.021,,
2023,Alabama,5490.0,89.097,,
2024,Alabama,5560.0,88.823,,
2008,Alaska,2530.0,103.878,2.4,65.3
2009,Alaska,2850.0,106.147,2.4,65.3
2010,Alaska,3140.0,103.099,2.4,65.3
2011,Alaska,3390.0,103.274,2.4,65.3
2012,Alaska,3680.0,102.548,2.4,65.3
2013,Alaska,3630.0,102.052,2.4,65.3
2014,Alaska,3640.0,102.386,2.4,65.3
2015,Alaska,3610.0,103.287,2.4,65.3
2016,Alaska,3660.0,104.073,2.4,65.3
2017,Alaska,3740.0,104.833,2.4,65.3
2018,Alaska,4030.0,104.565,2.4,65.3
2019,Alaska,3970.0,103.041,2.4,65.3
2020,Alaska,4030.0,101.339,2.4,65.3
2021,Alaska,3990.0,104.907,2.4,65.3
2022,Alaska,3910.0,102.101,2.4,65.3
2023,Alaska,4250.0,103.297,2.4,65.3
2024,Alaska,4180.0,102.359,2.4,65.3
2008,Arizona,2500.0,102.504,34.0,924.3
2009,Arizona,2890.0,102.865,34.0,924.3
2010,Arizona,3220.0,100.558,34.0,924.3
2011,Arizona,3420.0,99.083,34.0,924.3
2012,Arizona,3890.0,98.05,34.0,924.3
2013,Arizona,4030.0,98.441,34.0,924.3
2014,Arizona,4310.0,97.944,34.0,924.3
2015,Arizona,4470.0,97.865,34.0,924.3
2016,Arizona,4690.0,98.622,34.0,924.3
2017,Arizona,4890.0,97.915,34.0,924.3
2018,Arizona,5170.0,97.381,34.0,924.3
2019,Arizona,5260.0,97.779,34.0,924.3
2020,Arizona,5410.0,99.203,34.0,924.3
2021,Arizona,5480.0,96.6,34.0,924.3
2022,Arizona,5420.0,99.992,34.0,924.3
2023,Arizona,5290.0,100.742,34.0,924.3
2024,Arizona,5100.0,100.677,34.0,924.3
2008,Arkansas,1990.0,88.096,14.4,411.3
2009,Arkansas,2260.0,86.364,14.4,411.3
2010,Arkansas,2620.0,88.561,14.4,411.3
2011,Arkansas,2840.0,89.383,14.4,411.3
2012,Arkansas,3190.0,89.394,14.4,411.3
2013,Arkansas,3440.0,89.493,14.4,411.3
2014,Arkansas,3720.0,89.395,14.4,411.3
2015,Arkansas,3830.0,89.013,14.4,411.3
2016,Arkansas,4100.0,89.298,14.4,411.3
2017,Arkansas,4170.0,88.561,14.4,411.3
2018,Arkansas,4330.0,87.144,14.4,411.3
2019,Arkansas,4540.0,87.744,14.4,411.3
2020,Arkansas,4650.0,88.165,14.4,411.3
2021,Arkansas,4850.0,88.902,14.4,411.3
2022,Arkansas,4920.0,86.913,14.4,411.3
2023,Arkansas,4940.0,86.81,14.4,411.3
2024,Arkansas,5060.0,86.937,14.4,411.3
2008,California,2350.0,111.22,157.1,3965.9
2009,California,2650.0,110.696,157.1,3965.9
2010,California,2960.0,109.703,157.1,3965.9
2011,California,3140.0,109.503,157.1,3965.9
2012,California,3510.0,109.666,157.1,3965.9
2013,California,3720.0,109.667,157.1,3965.9
2014,California,3890.0,109.926,157.1,3965.9
2015,California,4010.0,110.685,157.1,3965.9
2016,California,4190.0,109.956,157.1,3965.9
2017,California,4330.0,110.998,157.1,3965.9
2018,California,4530.0,111.882,157.1,3965.9
2019,California,4640.0,111.134,157.1,3965.9
2020,California,4640.0,111.944,157.1,3965.9
2021,California,4710.0,111.918,157.1,3965.9
